fecha,periodo,laeq
2020-08-02,N,55.04
2020-08-02,T,57.46666666666667
2020-08-03,D,61.13
2020-08-03,E,59.95666666666667
2020-08-03,N,54.42666666666666
2020-08-03,T,59.77333333333333
2020-08-04,D,60.9
2020-08-04,E,60.019999999999996
2020-08-04,N,54.62
2020-08-04,T,59.63666666666666
2020-08-05,D,60.71
2020-08-05,E,60.07666666666667
2020-08-05,N,54.31666666666667
2020-08-05,T,59.406666666666666
2020-08-06,D,61.11
2020-08-06,E,59.93333333333333
2020-08-06,N,54.49333333333333
2020-08-06,T,59.71
2020-08-07,D,60.59
2020-08-07,E,59.416666666666664
2020-08-07,N,54.79
2020-08-07,T,59.269999999999996
2020-08-08,D,58.26
2020-08-08,E,59.419999999999995
2020-08-08,N,55.57
2020-08-08,T,57.88333333333333
2020-08-09,D,57.22666666666667
2020-08-09,E,58.93666666666666
2020-08-09,N,54.626666666666665
2020-08-09,T,57.01
2020-08-10,D,60.95333333333333
2020-08-10,E,59.25666666666667
2020-08-10,N,54.20666666666667
2020-08-10,T,59.50666666666667
2020-08-11,D,64.06666666666666
2020-08-11,E,61.346666666666664
2020-08-11,N,54.7
2020-08-11,T,62.126666666666665
2020-08-12,D,60.88965517241379
2020-08-12,E,60.199999999999996
2020-08-12,N,53.786206896551725
2020-08-12,T,59.55862068965517
2020-08-13,D,60.62
2020-08-13,E,59.89
2020-08-13,N,54.53448275862069
2020-08-13,T,59.39
2020-08-14,D,60.78333333333333
2020-08-14,E,59.57333333333334
2020-08-14,N,54.406666666666666
2020-08-14,T,59.443333333333335
2020-08-15,D,57.85333333333333
2020-08-15,E,59.056666666666665
2020-08-15,N,54.46333333333334
2020-08-15,T,57.38333333333333
2020-08-16,D,57.22
2020-08-16,E,59.190000000000005
2020-08-16,N,53.583333333333336
2020-08-16,T,56.906666666666666
2020-08-17,D,61.43666666666666
2020-08-17,E,59.35
2020-08-17,N,53.623333333333335
2020-08-17,T,59.85666666666667
2020-08-18,D,60.53
2020-08-18,E,59.54333333333333
2020-08-18,N,53.623333333333335
2020-08-18,T,59.14333333333333
2020-08-19,D,61.40333333333333
2020-08-19,E,59.56333333333334
2020-08-19,N,53.71
2020-08-19,T,59.906666666666666
2020-08-20,D,60.89666666666667
2020-08-20,E,59.54333333333333
2020-08-20,N,54.22
2020-08-20,T,59.519999999999996
2020-08-21,D,60.86
2020-08-21,E,59.82000000000001
2020-08-21,N,54.513333333333335
2020-08-21,T,59.61666666666667
2020-08-22,D,58.11333333333334
2020-08-22,E,59.19666666666667
2020-08-22,N,54.22666666666667
2020-08-22,T,57.62
2020-08-23,D,57.55
2020-08-23,E,59.29333333333333
2020-08-23,N,54.526666666666664
2020-08-23,T,57.31666666666667
2020-08-24,D,60.35666666666667
2020-08-24,E,59.5
2020-08-24,N,54.11666666666667
2020-08-24,T,58.983333333333334
2020-08-25,D,60.48620689655172
2020-08-25,E,59.62413793103448
2020-08-25,N,54.03666666666666
2020-08-25,T,59.186206896551724
2020-08-26,D,60.79655172413793
2020-08-26,E,60.08620689655172
2020-08-26,N,54.02068965517241
2020-08-26,T,59.51379310344827
2020-08-27,D,60.93
2020-08-27,E,59.99333333333333
2020-08-27,N,54.19655172413793
2020-08-27,T,59.583333333333336
2020-08-28,D,60.40333333333333
2020-08-28,E,60.10666666666667
2020-08-28,N,54.61333333333334
2020-08-28,T,59.313333333333325
2020-08-29,D,58.92333333333333
2020-08-29,E,60.02333333333333
2020-08-29,N,55.32
2020-08-29,T,58.34666666666667
2020-08-30,D,58.03333333333333
2020-08-30,E,60.11
2020-08-30,N,54.63333333333333
2020-08-30,T,57.943333333333335
2020-08-31,D,61.13333333333333
2020-08-31,E,60.17999999999999
2020-08-31,N,54.21333333333334
2020-08-31,T,59.663333333333334
2020-09-01,D,61.00666666666667
2020-09-01,E,60.36333333333334
2020-09-01,N,54.31666666666667
2020-09-01,T,59.64333333333333
2020-09-02,D,61.093333333333334
2020-09-02,E,60.97
2020-09-02,N,54.60333333333333
2020-09-02,T,59.88333333333333
2020-09-03,D,60.679310344827584
2020-09-03,E,60.58275862068966
2020-09-03,N,54.46333333333334
2020-09-03,T,59.44137931034483
2020-09-04,D,60.96206896551724
2020-09-04,E,60.98620689655172
