Sexo	Edad	Salud mental	SI o NO_salud mental	periodo	Total
Hombres	TOTAL	Problemas para concentrarse	Sí	Durante pandemia	5,21
Hombres	TOTAL	Problemas para concentrarse	Sí	Anterior a pandemia	5,81
Hombres	TOTAL	Problemas para concentrarse	No	Durante pandemia	94,79
Hombres	TOTAL	Problemas para concentrarse	No	Anterior a pandemia	94,19
Hombres	TOTAL	Moverse o hablar más lento o más rápido de lo habitual	Total	Durante pandemia	100,00
Hombres	TOTAL	Moverse o hablar más lento o más rápido de lo habitual	Total	Anterior a pandemia	100,00
Hombres	TOTAL	Moverse o hablar más lento o más rápido de lo habitual	Sí	Durante pandemia	3,73
Hombres	TOTAL	Moverse o hablar más lento o más rápido de lo habitual	Sí	Anterior a pandemia	4,10
Hombres	TOTAL	Moverse o hablar más lento o más rápido de lo habitual	No	Durante pandemia	96,27
Hombres	TOTAL	Moverse o hablar más lento o más rápido de lo habitual	No	Anterior a pandemia	95,90
Hombres	De 15 a 44 años	Poco interés o alegría por hacer cosas	Total	Durante pandemia	100,00
Hombres	De 15 a 44 años	Poco interés o alegría por hacer cosas	Total	Anterior a pandemia	100,00
Hombres	De 15 a 44 años	Poco interés o alegría por hacer cosas	Sí	Durante pandemia	13,10
Hombres	De 15 a 44 años	Poco interés o alegría por hacer cosas	Sí	Anterior a pandemia	11,19
Hombres	De 15 a 44 años	Poco interés o alegría por hacer cosas	No	Durante pandemia	86,90
Hombres	De 15 a 44 años	Poco interés o alegría por hacer cosas	No	Anterior a pandemia	88,81
Hombres	De 15 a 44 años	Sensación de estar decaído o deprimido	Total	Durante pandemia	100,00
Hombres	De 15 a 44 años	Sensación de estar decaído o deprimido	Total	Anterior a pandemia	100,00
Hombres	De 15 a 44 años	Sensación de estar decaído o deprimido	Sí	Durante pandemia	12,83
Hombres	De 15 a 44 años	Sensación de estar decaído o deprimido	Sí	Anterior a pandemia	9,63
Hombres	De 15 a 44 años	Sensación de estar decaído o deprimido	No	Durante pandemia	87,17
Hombres	De 15 a 44 años	Sensación de estar decaído o deprimido	No	Anterior a pandemia	90,37
Hombres	De 15 a 44 años	Problemas para dormir	Total	Durante pandemia	100,00
Hombres	De 15 a 44 años	Problemas para dormir	Total	Anterior a pandemia	100,00
Hombres	De 15 a 44 años	Problemas para dormir	Sí	Durante pandemia	14,61
Hombres	De 15 a 44 años	Problemas para dormir	Sí	Anterior a pandemia	12,20
Hombres	De 15 a 44 años	Problemas para dormir	No	Durante pandemia	85,39
Hombres	De 15 a 44 años	Problemas para dormir	No	Anterior a pandemia	87,80
Hombres	De 15 a 44 años	Sensación de cansancio	Total	Durante pandemia	100,00
Hombres	De 15 a 44 años	Sensación de cansancio	Total	Anterior a pandemia	100,00
Hombres	De 15 a 44 años	Sensación de cansancio	Sí	Durante pandemia	11,35
Hombres	De 15 a 44 años	Sensación de cansancio	Sí	Anterior a pandemia	15,80
Hombres	De 15 a 44 años	Sensación de cansancio	No	Durante pandemia	88,65
Hombres	De 15 a 44 años	Sensación de cansancio	No	Anterior a pandemia	84,20
Hombres	De 15 a 44 años	Poco apetido o comer demasiado	Total	Durante pandemia	100,00
Hombres	De 15 a 44 años	Poco apetido o comer demasiado	Total	Anterior a pandemia	100,00
Hombres	De 15 a 44 años	Poco apetido o comer demasiado	Sí	Durante pandemia	6,80
Hombres	De 15 a 44 años	Poco apetido o comer demasiado	Sí	Anterior a pandemia	6,73
Hombres	De 15 a 44 años	Poco apetido o comer demasiado	No	Durante pandemia	93,20
Hombres	De 15 a 44 años	Poco apetido o comer demasiado	No	Anterior a pandemia	93,27
Hombres	De 15 a 44 años	Sentirse mal con uno mismo	Total	Durante pandemia	100,00
Hombres	De 15 a 44 años	Sentirse mal con uno mismo	Total	Anterior a pandemia	100,00
Hombres	De 15 a 44 años	Sentirse mal con uno mismo	Sí	Durante pandemia	4,26
Hombres	De 15 a 44 años	Sentirse mal con uno mismo	Sí	Anterior a pandemia	4,74
